food_item	num_of_orders
Chicken Bowl	726
Chicken Burrito	553
Chips and Guacamole	479
Steak Burrito	368
Canned Soft Drink	301
Steak Bowl	211
Chips	211
Bottled Water	162
Chicken Soft Tacos	115
Chips and Fresh Tomato Salsa	110
Chicken Salad Bowl	110
Canned Soda	104
Side of Chips	101
Veggie Burrito	95
Barbacoa Burrito	91
Veggie Bowl	85
Carnitas Bowl	68
Barbacoa Bowl	66
Carnitas Burrito	59
Steak Soft Tacos	55
6 Pack Soft Drink	54
Chips and Tomatillo Red Chili Salsa	48
Chicken Crispy Tacos	47
Chips and Tomatillo Green Chili Salsa	43
Carnitas Soft Tacos	40
Steak Crispy Tacos	35
Chips and Tomatillo-Green Chili Salsa	31
Steak Salad Bowl	29
Nantucket Nectar	27
Barbacoa Soft Tacos	25
Chips and Roasted Chili Corn Salsa	22
Izze	20
Chips and Tomatillo-Red Chili Salsa	20
Veggie Salad Bowl	18
Chips and Roasted Chili-Corn Salsa	18
Barbacoa Crispy Tacos	11
Barbacoa Salad Bowl	10
Chicken Salad	9
Veggie Soft Tacos	7
Carnitas Crispy Tacos	7
Veggie Salad	6
Carnitas Salad Bowl	6
Burrito	6
Steak Salad	4
Crispy Tacos	2
Salad	2
Bowl	2
Chips and Mild Fresh Tomato Salsa	1
Veggie Crispy Tacos	1
Carnitas Salad	1
