order_id	quantity	price
1	4	11.56
2	2	16.98
3	2	12.67
4	2	21.0
5	2	13.7
6	2	17.5
7	2	15.7
8	2	10.88
9	3	10.67
10	2	13.2
11	2	12.38
12	2	14.37
13	2	10.88
14	2	10.08
15	2	10.88
16	2	10.68
17	2	10.08
18	4	24.9
19	2	13.9
20	4	36.2
21	3	23.359999
22	2	12.98
23	3	11.17
24	2	12.07
25	2	11.38
26	2	20.5
27	2	13.9
28	4	33.7
29	2	17.98
30	3	23.36
31	2	10.68
32	2	12.98
33	2	13.2
34	4	28.4
35	2	13.4
36	2	18.0
37	2	18.0
38	3	18.57
39	2	12.2
40	3	32.75
41	2	16.2
42	2	13.7
43	2	20.5
44	2	13.2
45	3	21.97
46	2	11.88
47	2	10.08
48	2	13.7
49	3	16.15
50	2	10.88
51	3	18.57
52	2	12.98
53	3	22.45
54	2	15.7
55	2	10.08
56	3	16.65
57	2	16.2
58	2	10.88
59	1	10.98
60	2	22.5
61	2	16.2
62	2	15.7
63	2	15.7
64	2	22.5
65	3	25.45
66	1	11.48
67	3	19.67
68	3	21.95
69	2	10.88
70	3	21.95
71	3	27.45
72	1	10.98
73	4	21.65
74	3	22.359999
75	4	36.2
76	3	10.67
77	2	11.88
78	2	17.48
79	1	10.98
80	1	11.48
81	3	10.67
82	3	20.95
83	3	24.95
84	3	28.46
85	2	11.38
86	3	22.95
87	2	10.08
88	2	10.88
89	3	16.06
90	2	20.0
91	2	11.88
92	3	20.15
93	4	38.2
94	2	22.5
95	2	16.2
96	4	35.0
97	3	20.15
98	4	22.3
99	2	13.4
100	2	10.08
101	2	12.98
102	3	14.65
103	6	47.9
104	2	12.2
105	2	17.5
106	2	18.0
107	1	10.98
108	5	21.25
109	2	12.07
110	4	36.0
111	2	17.5
112	2	17.98
113	2	10.08
114	2	13.0
115	2	11.38
116	2	12.2
117	2	12.98
118	2	10.88
119	2	16.98
120	2	10.18
121	2	12.48
122	3	11.7699995
123	2	23.78
124	4	28.4
125	4	31.7
126	2	20.0
127	2	12.5
128	3	24.95
129	3	29.99
130	2	11.38
131	2	10.88
132	3	22.15
133	2	10.68
134	3	22.15
135	2	13.2
136	2	17.48
137	2	17.5
138	3	10.67
139	3	12.15
140	1	11.08
141	2	16.98
142	2	11.38
143	3	12.4
144	2	13.4
145	2	16.98
146	2	21.0
147	2	13.0
148	4	30.939999
149	6	30.4
150	4	13.059999
151	3	10.67
152	2	22.16
153	2	17.5
154	3	18.189999
155	3	15.77
156	2	17.48
157	2	13.4
158	2	14.2
159	2	12.5
160	2	10.08
161	2	17.5
162	2	12.2
163	2	13.25
164	2	10.08
165	3	13.75
166	3	25.15
167	2	10.68
168	2	18.24
169	2	18.0
170	3	16.95
171	2	15.7
172	2	17.48
173	2	17.48
174	2	12.5
175	2	13.0
176	3	25.45
177	2	13.4
178	3	32.94
179	2	12.5
180	3	14.259999
181	2	17.5
182	3	20.189999
183	2	18.0
184	5	31.85
185	2	17.5
186	4	37.329998
187	2	10.68
188	2	10.08
189	2	14.37
190	2	10.08
191	2	18.0
192	4	27.9
193	3	22.2
194	2	17.48
195	8	81.0
196	4	24.2
197	2	10.18
198	2	23.0
199	3	21.95
200	2	12.48
201	2	12.48
202	3	14.259999
203	2	12.75
204	2	12.27
205	12	109.9
206	5	29.95
207	3	24.95
208	2	12.48
209	2	18.5
210	2	20.5
211	2	23.0
212	4	26.0
213	2	17.48
214	2	14.8
215	5	25.35
216	2	13.2
217	3	22.2
218	2	12.98
219	2	10.68
220	2	17.5
221	2	17.5
222	3	25.45
223	3	27.25
224	2	12.48
225	6	25.7
226	3	22.45
227	3	24.45
228	1	10.98
229	2	22.16
230	5	38.19
231	6	45.1
232	2	12.2
233	5	29.75
234	4	31.2
235	3	35.25
236	2	18.5
237	5	26.15
238	2	21.0
239	2	13.4
240	3	22.45
241	1	10.98
242	2	20.5
243	2	22.5
244	3	13.7
245	1	11.48
246	2	10.18
247	5	32.25
248	2	16.2
249	2	13.2
250	2	21.28
251	3	12.95
252	2	18.0
253	2	23.78
254	5	23.55
255	2	12.48
256	2	12.07
257	2	13.2
258	4	27.9
259	2	18.0
260	2	12.48
261	2	22.5
262	2	12.5
263	2	17.5
264	3	24.99
265	3	21.95
266	2	12.48
267	2	10.08
268	2	10.88
269	2	13.17
270	4	13.25
271	3	20.45
272	2	13.2
273	2	20.5
274	2	10.18
275	2	12.48
276	4	30.96
277	3	16.95
278	2	14.969999
279	4	21.8
280	2	12.48
281	2	13.7
282	4	25.5
283	2	13.4
284	6	31.2
285	2	11.38
286	3	14.45
287	4	19.66
288	4	11.76
289	3	12.95
290	2	12.75
291	3	13.45
292	2	12.48
293	1	11.48
294	2	12.48
295	2	12.5
296	2	10.68
297	2	12.5
298	2	15.24
299	3	20.95
300	2	20.5
301	3	19.669998
302	2	12.48
303	2	17.5
304	4	35.5
305	3	21.75
306	2	18.24
307	2	12.48
308	2	13.4
309	2	23.14
310	2	10.68
311	4	30.96
312	3	20.65
313	2	14.8
314	2	17.5
315	2	13.7
316	2	12.5
317	3	24.25
318	2	12.48
319	3	25.97
320	3	12.15
321	3	10.67
322	3	12.95
323	3	12.65
324	2	12.5
325	4	15.7
326	5	35.15
327	2	22.5
